NA	sentiment	tweet	
6.29981E+17	neutral	"@je_suis_liberte first off, u were talking about Muslims, not all rel ppl. 2nd, all should be subject to SAME rules, not worse @JihadistJoe"	
6.29982E+17	neutral	M:I 5 was... ok. Nowhere near as awesome the 4th was. Glad I didn't spend $11 at the theater for it. I would rather watch Ant-Man again.	
6.29983E+17	positive	I hope enough people show up tomorrow so a Kpop course can be ran. I really want to do it.	
6.29983E+17	neutral	Chuck Norris saves lives by not going to 3rd world countries.	
6.30001E+17	neutral	"She made her entrance with the tune of ""Bad Blood"" omg sbnabs https://t.co/tQ9p6jppmE"	
6.30001E+17	neutral	Kayla just tried to give me my croissant from Dunkin and it kept slipping I couldn't grab it at 1st	
6.30006E+17	negative	"I am not allowed to listen to Nirvana around Alexander because he may not like my music. He is 2 weeks old, he doesn't care??"	
6.30012E+17	neutral	Cubster Huggs &amp; Love go out today to  My Big Brother   Steve Prado Because you and I may have had our Fights... http://t.co/ym6YlVN7LH	
6.3002E+17	neutral	Dang. Kris Bryant's in like a month and a half slump. Will bounce back. Guaranteed. Those guaranteeing ROY may want him to hit again though.	
6.30023E+17	neutral	John Kasich's Gay Marriage Response May Have Been the Moment of the Night | 57 http://t.co/uKQuCRZRJo http://t.co/Xx8QnsmTxm	
6.30024E+17	neutral	"@VodafoneIN i have bought MOTO G 3rd Gen, it has a gsm and a LTE (micro sim) slot,i put my primary number in the gsm slot, (1/2)"	
6.30031E+17	neutral	David Price's last start against the Yankees on April 22:  2.1 IP | 10 H | 8 ER | 3 BB | 2 K http://t.co/1NiQXyOTG7	
6.30031E+17	neutral	"Cattle market to be set up at Super Highway from Aug 15: KARACHI: In connection with Eid ul Azha, the cattle m... http://t.co/dCJVDbMa3p"	
6.30032E+17	neutral	"Luke Bryan Friday night ticket, Jason Aldean ticket, and Darius Rucker ticket for sale! Let me know if you want them!"	
6.30032E+17	positive	"On Sunday, The only way to watch us is to BE THERE IN PERSON!! Come out to the Prince George's Sport Complex at... http://t.co/wDb7KyNRFr"	
6.30033E+17	positive	We could be seeing Celebrity Big Brother launch on the 23rd of August although no date has been confirmed #bbuk #cbb http://t.co/T4MgcAHmDy	
6.30035E+17	positive	Omg Just read naruto special comic where naruto declared as the 7th hokage. #narutohokage	
6.30039E+17	neutral	Saw that Dustin Johnson had the long drive Friday @WGC_Bridgestone just a little over 400 yds at 406. Go after that Bubba!	
6.30041E+17	neutral	"@Headtheball_ @MichaelLFC28 your damn straight your guessing Derek, I may be a Naruto fanboy but I'm also the reincarnation of brad Pitt"	
6.30048E+17	positive	That Kris Bryant 9th inning home run was the turning point in the season.	
6.30052E+17	neutral	If I feel up to going to mum's eye check up may try and see Ant-man	
6.30054E+17	neutral	I take it it's for holiday/schools being off reasons that Paper Towns opens here on a Monday(?)	
6.30059E+17	negative	My bad let me fixate Y'all may be Muslims but you're not practicing Muslims	
6.3006E+17	positive	"Stats flying around lately, but this is my favourite: Today is the 2nd game where Troy Tulowitzki and David Price play for the Blue Jays."	
6.30066E+17	positive	"Naruto volume 70 from @VIZMedia  ranks at #7, marking its 8th week on the New York Times Manga Bestsellers"	
6.30067E+17	neutral	Sonny gray and David price are 2nd and 4th in era respectively in the AL	
6.30069E+17	negative	Yakub coverage: Outrage over notice to channels: Various journalists' bodies on Saturday expressed shock over the show-cause notice s...	
6.30071E+17	neutral	I want to go to the Korean Festival tomorrow to see f(x) but I can just imagine all the scary Kpop fans that will be there.	
6.30075E+17	neutral	@Toryscott Can't say I was overly comfy with it in the mall first Fri afternoon in Eid. So many men. No women. Tried to shrink bust inwards.	
6.30077E+17	neutral	"Rickrolls, rumours and riddles: the hype behind Frank Ocean's new album | Music | The Guardian http://t.co/jMkXTMdZBz"	
6.30077E+17	positive	"I love ""Bad Blood"" and I love the music video, but it is just Taylor acting a damn fool. Like c'mon."	
6.30081E+17	positive	"Jason Aldean Thursday, free Toronto Blue Jays game Friday and ZBB concert Sunday. Bout to be the best weekend of summer."	
6.30086E+17	neutral	I've woke up everyday since August 1st to google frank ocean for news. Everyday I don't have his new album is a day not worth waking up for	
6.30087E+17	positive	Thought about seeing the new Fantastic Four movie today. Passed and saw Ant-Man for a 2nd time instead. LOL #AntMan #FantasticFour	
6.30088E+17	negative	@sweetieplier may I also suggest I hate myself and want to die by nirvana	
6.30091E+17	neutral	Caitlyn Jenner and Kris Jenner came face to face in public for the first time Friday night and it was all to... http://t.co/RmLfxTAwnX	
6.30093E+17	neutral	Tomorrow: Read about the very special playhouse Prince George will receive #shepherdshut #royals @Plankbridge http://t.co/kvTQZvImca	
6.30093E+17	negative	"@SaraBareilles So, you didn't show up at Zac Brown Band last night. :( If you are there tonight or tomorrow, then...well...we're in a fight"	
6.30093E+17	negative	Cyborg and her management now calling for an April bout with Rousey ...lol..that didn't last long..fuck Cyborg already...	
6.30095E+17	positive	Seeing Jason aldean for the 13th time today... Yup	
6.30098E+17	positive	David Price is the 1st #BlueJays SP this season to record 8+ Ks in consecutive starts.	
6.30098E+17	neutral	"Hulk Hogan may have been dumped from WWE's upcoming tour of Australia, but he's still a champ in the eyes of his daughter Brooke."	
6.30099E+17	neutral	"If Brendan Ryan were on the Dodgers w/ David Price the opposing pitcher, and purposely swung at a 2-0 fastball w/ 1st and 3rd and down 5..."	
6.301E+17	neutral	Donald Trump may have just secured a prime-time debate spot for Carly Fiorina http://t.co/Ijbf3WsPSJ  #gapol	
6.301E+17	neutral	Imma promote the shit out of Calibraska in London Town tomorrow	
6.30101E+17	positive	"Catching up on movies before they leave theaters.  Trainwreck was as good as everyone says it is.  Tomorrow, Ant-Man."	
6.30104E+17	neutral	David Price finishes his start with 7 IP and 0 R. This is his 2nd career start against the Yankees without allowing a run (9/13/2010 w/TB)	
6.30104E+17	positive	@smackalalala Currently 6-0 Top of the 9th. They got lucky trading for David Price.  That's one ace of a pitcher to have in the lineup.	
6.30107E+17	neutral	"Even the new Moto G has a 5"" screen, which is already bigger than I prefer. I may end up there, though. https://t.co/HMgclhrT2m"	
6.30108E+17	neutral	"@LenKasper Yesterday, did you see Kris Bryant go over to field 2nd base for a few pitches &amp; then go back to 3rd? Never seen that ever before"	
6.30108E+17	positive	Ant-Man was even better the 2nd time	
6.30109E+17	positive	@JimWebbUSA   - Carly Fiorina really came off very well in her 2nd tier Rep debate. Jim you need an opportunity to the same with the Dems	
6.30109E+17	positive	"7th consecutive win, shutout the Yankees, David Price's second win as a Jay, 2.5 games behind for 1st place in AL East. #LETSGOBLUEJAYS"	
6.30109E+17	positive	@Robbb11Roppp112 Article highlighted SS501 as one of the 3 top groups in the 2nd generation of KPop idol (fr 2005 onwards)	
6.30109E+17	positive	Jays are now 2.5 games back of the Yankees for 1st place. won 7 in a row and David Price is 2-0 as a Blue Jay!  6-0 over the yankees #MLB	
6.30111E+17	neutral	Bases loaded in the 1st for Kris Bryant--no pressure...	
6.30112E+17	neutral	"#Cubs strike first in the 1st after Kris Bryant hit into a fielders choice, they lead the #SFGiants 1-0."	
6.30118E+17	neutral	@dclondonInc @SeanNobleAZDC  You are right about John Kasich.  He will not be in the top-tier debate again. He debated 1st only in his OH.	
6.30118E+17	positive	"@matt_reality93 @Matty_C96 Big Brother when on C4 never aired the show on a Saturday night, instead aired live feed on E4, it worked better"	
6.3012E+17	neutral	Kylie Jenner Kicks Off 18th Birthday Celebration with Family Dinner -- Including Kris and Caitlyn Jenner!: Cai... http://t.co/WO0jIusuZn	
6.3012E+17	negative	"it's august 8th and still no Frank Ocean album, when will this terror end"	
6.30121E+17	positive	Kris Bryant blasts a home run to deep left center! Bryant's 15th home run of the season. #Cubs #LetsGo	
6.30121E+17	positive	I literally just sat down to see Kris Bryant smash a bomb. #LetsGo	
6.30121E+17	positive	Kris Bryant with his 15th HR of this season!!! #Cubs lead 3-2.	
6.30121E+17	neutral	"Matt Cain legit just hung 5 straight pitches over the plate. Kris Bryant fouled 4 of them, 5th one - a long dinger. Can't make that mistake!"	
6.30121E+17	positive	Kris Bryant's smile when he gets a homer could fuel the sun @KrisBryant_23 @Cubs	
6.30121E+17	positive	"An absolute BOMB by Kris Bryant, his 15th HR on the year. #Cubs up 3-2 now on the #Giants. #SFvsCHC"	
6.30123E+17	positive	We go to the 4th as the Cubs lead 3-2 thanks to Kris Bryant's two run home	
6.30127E+17	neutral	"Game in progress, but Kris Bryant has hit his 15th HR. He has 3-RBIs at the moment."	
6.30128E+17	positive	And just think....Virgo David Price will be getting even better when Jupiter goes into Virgo August 11... https://t.co/plSUNKIo1L	
6.3013E+17	negative	"I sat down two men today and all they could talk about was how nasty Caitlyn Jenner, i found their sexuality even more disgusting than hers"	
6.30131E+17	positive	"I chose this one in honor of night 2 with @ZacBrownBa... - ""Tomorrow Never Comes"" by Zac Brown Band #Cymbal https://t.co/TAjYkx2avV"	
6.30131E+17	neutral	@amentilone Rosie did start it when he gave a Miss USA a 2nd chance with drug rehab. Rosie stated throwing mud and he took her on.	
6.30132E+17	neutral	"50% done with Every Other Monday, by John Kasich: Has to respect the ""spiritual firewall"" ... http://t.co/nANI6HkXdx"	
6.30134E+17	neutral	"Miguel Montero with a go-ahead RBI single in his return from the DL, scoring Kris Bryant. The #Cubs lead the #Giants 4-3, bottom of the 5th."	
6.30142E+17	positive	Watching the GOP from last night and I must say that Carly Fiorina may surprise a few #GOP	
6.30144E+17	positive	Zac Brown Band tomorrow night with boy. SO EFFING EXCITED. Eeeeee!	
6.30145E+17	positive	Tfw ur on ur way to see Ant-Man for the 3rd time	
6.30145E+17	negative	"Its the 8th day of august, still haven't received the Frank Ocean album."	
6.30148E+17	positive	I may not be a huge U2 fan but Bono's mullet in the 80s was superb!	
6.30149E+17	positive	This is a good video clip of Carly Fiorina on the 2nd Amendment. http://t.co/pxpLnRfkK3	
6.30153E+17	neutral	Seth rollins on monday night raw  in San Jose California August 3 at the sap center http://t.co/XWlirhuN9c	
6.30155E+17	positive	I need to go buy a shirt tomorrow or today to make for the Sam Smith concert next weekend I mean a week from today! Can't wait!	
6.3016E+17	positive	My shift was cancelled for tomorrow. Time watch Naruto and Cowboy Bebop all day. #Mylife	
6.30161E+17	positive	"One of the advantages to living in SC is we get to meet candidates in person, going to meet Carly Fiorina tomorrow, a competent honest woman"	
6.30161E+17	neutral	check this out Cyborg says she wants to fight Rousey in April: Cyborg says she wants to fight ... http://t.co/5edNsa2u3a #sports #online	
6.30165E+17	neutral	it's august 8th. Still no Frank Ocean album me: http://t.co/HEh7OJbP4g	
6.30165E+17	positive	"Ate dinner on the couch in sweatpants &amp; under a blanket while listening to sam smith pandora, &amp; now I'm reading the newspaper. Its Saturday."	
6.30166E+17	neutral	I have already showed them the first episode of naruto and yugioh. This may not be a hard 5 hours after all	
6.30166E+17	neutral	A little country on a Saturday Night with Jason Aldean and Kenny Chesney http://t.co/TTNhbqbje8	
6.30168E+17	neutral	The Safeco Field roof is being closed as #Rangers open the 11th with back-to-back singles. Runners on the corners for Josh Hamilton.	
6.30168E+17	neutral	@VZWSupport Any idea if the Moto G (3rd gen) will be available on Verizon anytime soon? https://t.co/W3oILSfiYH	
6.30169E+17	neutral	Josh Hamilton stays chill after putting the @Rangers on top 4-3 in the 11th.	
6.30169E+17	neutral	"So @ESPN, is it true that Kris Bryant will win NL ROY as long as he is still breathing in October? Does he even need to swing the bat again?"	
6.30169E+17	positive	"Josh Hamilton may not be having a great year, but he's consistently delivered in crucial moments."	
6.30169E+17	positive	Josh Hamilton was 4th on Rangers in Win Probability Added entering this game. He'll be 2nd by the end of the day. Just crazy.	
6.30171E+17	positive	@thedoctor2016 @japancuriosity @MangaUK I hope that they attract the right audience and some that may not have seen DBZ or Naruto before.	
6.30173E+17	neutral	"Thursday's flight pattern of FBI spy plane (east, south Dearborn) contains areas with high concentration of Muslims compared to Sunday area."	
6.30175E+17	positive	1st time watching Sharknado--too freaking funny! Luv the cast! Watching #3&amp; def will watch the 1st two! Gotta join Sharknado cult following!	
6.30176E+17	neutral	@DeanAmbroseNet so my Dean Ambrose stuff left Ohio at 5:25am so it should be here Monday or Tuesday cause I live in Michigan	
6.30177E+17	neutral	"Sunday Bloody Sunday by U2 is #nowplaying in Vera's On The Drive, Vancouver.  Download it now at http://t.co/cVR6Zgk3Ww"	
6.30178E+17	neutral	"Saturday Night Observation: I'm really surprised Seth Rollins never ""had to"" change his hair style after winning the World Title."	
6.30178E+17	neutral	Josh Hamilton. @joshthemandan Have you seen these exceptional Cameron images? You may want to check: http://t.co/Tf8LzQbc3o	
6.3018E+17	positive	"Josh Hamilton can strike out 4 times but if bats in the 9th or later, he will win you the baseball game."	
6.3018E+17	positive	Josh Hamilton hit a two run homer in 2011 WS in the 10th with a sports hernia. If anyone with any decent fielding skills catches the ball...	
6.3018E+17	neutral	Josh Hamilton with his 5th game-winning RBI this season. #Rangers	
6.3018E+17	neutral	"After Friday night's confrontation with teammate Jose Iglesias, McCann responding like the leader David Price called him. Two hits, RBI."	
6.30182E+17	positive	"Reading The Hobbit, listening to Sam Smith, mom is cooking her mean Pork Nilaga. Steady Sunday it is. Good morning :)"	
6.30183E+17	negative	What's going on why are people slandering Frank ocean ? He may be liar but he is one of the greatest talents my nigga	
6.30183E+17	positive	I would say him and Rousey are the hottest athletes in sports right now. SAVAGE  https://t.co/y4aCXXw0Aj	
6.30186E+17	neutral	"@bIindmeIon nirvana, any time someone says the season winter out loud, the ""may I offer you an egg in this trying time"" quote, dead girl wal"	
6.30186E+17	negative	@CollectorCorps Hi corps I ordered two boxes of Ant-man on July  23rd and I haven't received anything not even a email. I emailed you guys.	
6.30188E+17	neutral	Holm won't beat Rousey. She may land a few good punches but she'll get dropped on her head and submitted. #UFCNashville	
6.3019E+17	positive	Gonna wait until tomorrow to see Ant-Man and take my ma with me.	
6.3019E+17	negative	"Carly Fiorina isn't the 1st person 2 Xpose #HillaryClinton as Corrupt Liar, but it seems the press only cares 2 give a women any PC coverage"	
6.30191E+17	positive	Just went to see Paper Towns with my friends. AMAZING!!! Then we were driving home and we stuck our heads out the sun roof. Such a rush...	
6.30191E+17	negative	@LeoWillner in regards to the masses of refugees this is crazy. Also when Muslims may take Greece. Real world worst case scenarios are...	
6.30195E+17	neutral	I'm watching Sharknado 3 for the first and only time and I finally understand why Donald Trump may be the next American President.	
6.30196E+17	neutral	Sunday Oliseh Arrives Nigeria To Resume Eagles Job-Former Super Eagles captain Sunday Oliseh arriived the Nnamdi A http://t.co/CH20TaUkV3	
6.30196E+17	positive	YASSS! Vanessa may actually be leaving the Big Brother house. I could not be anymore happy how this is playing out! #BB17	
6.30197E+17	positive	"#judge jeanine, I agree with you that Carly Fiorina belongs in the top candidates. In fact, she may be the best of the bunch"	
6.30197E+17	neutral	"@MeiaLua22 Rousey may not be afraid of her now, but she was DEFINITELY afraid of her in Strikeforce,"	
6.302E+17	positive	Wow did Carly Fiorina KICK ASS at the early debate August 6.	
6.30202E+17	positive	"David Price, Justin Smoak send Jays by Yanks for 7th win in row http://t.co/bmtuHxZ8OR always a Great day when tha Yankees lose.... #$Ball"	
6.30203E+17	neutral	Cubs beat Giants 8-6 to take first 3 from San Fran! Kris Bryant hits 15th homer of the year!	
6.30205E+17	neutral	Remember when we brought Murphy in to pitch and Kris Bryant hit the ball over E 9th?	
6.30208E+17	neutral	FACT: The core of Carly Fiorina's support comes from people who knew nothing about her before 4:59 PM on Thursday. #CheckHerRecord	
6.30209E+17	neutral	Remember when everyone thought frank oceans new album was gonna come out July 20th and here we are now August 8th with no frank ocean album	
6.30209E+17	neutral	Carly Fiorina on the 2nd Amendment http://t.co/F0scYjKJi1 Atta Girl .Hildogs worst nightmare	
6.3021E+17	neutral	"With Nunes/Holm/Pena all carving out potential paths to title shots, the cupboard may not be as bare for Rousey as we thought."	
6.30211E+17	neutral	"@danawhite I'm telling you, one of these Brazilians may be lucky enough to put an end to Rousey's reign. Nunes is an up-and-coming opponent."	
6.30211E+17	positive	Excited to see that Boruto: Naruto the Movie is coming out in Malaysia on the 5th of November!	
6.30212E+17	neutral	Just reminding you all that it's August 8th and there's still no album from Frank Ocean http://t.co/1yesgHjmQR	
6.30212E+17	neutral	@danawhite wait a tick Nunes cannot fight Tate forgot she is set to fight Rousey again for the 10th time lol j/k	
6.30213E+17	positive	Paper Towns is amazingly playing in Fremont tomorrow and now I feel obligated to go see it.	
6.30214E+17	positive	Carly Fiorina the clear winner of Thursday's undercard debate http://t.co/zMDRPycNGB	
6.30219E+17	neutral	I just watching Sharknado 3 AND Piranha DD. How's your Saturday night going?	
6.30219E+17	positive	John Kasich seems well balanced and sensible compared to the rest at Thursday night's debate. I say @JohnKasich won.	
6.30222E+17	negative	Floyd Mayweather may be the most arrogant human being on the planet but that nigga rich af	
6.30227E+17	neutral	"So while she may have figured out the ""old Rousey"" it may be ill advised to think that she has any advantage going into this trilogy fight."	
6.30228E+17	positive	Just learned that Iron Maiden's new album comes out September 4. Same day as 5FDP's new album. GOD SO MUCH MUSIC IN SO LITTLE TIME	
6.30233E+17	positive	The song Lost It To Trying (Paper Towns Mix) on the Paper Towns soundtrack is amazing. It's got FOBs Fourth of July as a base and just wow	
6.3024E+17	positive	@1D5_69 @_infinitehoran_ I've been a fan for 4 years now. KPOP is kinda different from what you may be used to. T-ARA is my FAVE group!	
6.3024E+17	negative	"When @habchanteur scams a poor innocent girl out of 20c, after she sat in Big Brother for 2 hours.  Your pathetic, hosting rights removed."	
6.30247E+17	negative	Stupid view completely one sided. Do you think we enjoyed media bias on Yakub death sentence?  https://t.co/EPAxKxoUaQ	
6.30248E+17	neutral	"'Forget the differences between the Hindus and Muslims, and think of yourselves as Indians' @sujataanandan @gulrayys https://t.co/GPPWWeh95d"	
6.30259E+17	neutral	y'all are gonna get spammed af on tuesday for the sam smith concert	
6.3026E+17	positive	"i haven't watched Naruto since I was like 9, but tomorrow is the day I start watching it again."	
6.30262E+17	positive	Carly Fiorina 2nd amendment is about your God-given right to self-preservation and fail safe against tyranny http://t.co/0ellOAi5Lg	
6.30262E+17	neutral	@Motorola when will we have more Moto G 3rd Gen 16g in the USA?	
6.30264E+17	positive	David Price continues his dominance with Toronto Blue Jays: After a dominant Toronto Blue Jays debut on Monday... http://t.co/QLeFiHgbPB	
6.30264E+17	positive	it's literally 6th grade me's dream come true to finally see pete wentz live and in the flesh ive ACHIEVED NIRVANA	
6.30265E+17	neutral	@itsjaydentho he was like my favorite in 5th grade and then he pulled a frank ocean and dissappeared	
6.30266E+17	neutral	"LA on Monday- Bernie taking the same stage as Metallica, Bruce Springsteen, Rolling Stones, U2, The Who, Pink Floyd, Van Halen #Bernie2016"	
6.30266E+17	positive	I'm running on the stage if Sam Smith sings Lay Me Down tomorrow	
6.30267E+17	neutral	To be fair to Keshi he didn't call up many second division players to the Super Eagles just 1st division bench warmers ahead of regulars	
6.30267E+17	neutral	"Josh Hamilton's go-ahead RBI in the 11th, opened up the floodgates, as 7 more runs were scored. Texas #Rangers won 11-3 over #Mariners. #MLB"	
6.30267E+17	neutral	"Ironically when Leon Balogun was called up to the Super Eagles by Keshi, he was a bench warmer for a 2nd div. team, today in the Bundesliga"	
6.30268E+17	neutral	"#Rangers Josh Hamilton went 2-for-5 with a run and two RBIs including the go-ahead, eventual game-winner in the 11th. #MLB"	
6.3027E+17	positive	Frank ocean puttin me to sleep thinkin of the past on this Sat. night relaxin with ace and mike. But eyes on the future :) an no lookin back	
6.30271E+17	negative	#NewsTraders are major reason for tarnishing the image of islam and Muslims today in the world... May Allah curse upon them...	
6.30271E+17	negative	I just watched Sharknado and it wasn't the worst thing I've seen (by a lot). I think I may have to reevaluate my life choices.	
6.30273E+17	positive	@BBC6Music @maryannehobbs Nirvana. It just feels right. Happy Sunday! #6hobbs	
6.30274E+17	positive	stuffing my face with fried chicken and chinese take out while listening to kpop is my saturday night aesthetic	
6.30283E+17	positive	AJ has the best 3rd-party commentary on Kpop.	
6.30286E+17	positive	Saturday Movie Matinee: Carly Fiorina Won the Debate Going Away http://t.co/Ay2tTdJTP1 via @NiceDeb	
6.30287E+17	neutral	It looks like Carly Fiorina is going to do the Full Ginsburg on the Sunday morning news shows. Trump will do all but Fox. LOL.	
6.30289E+17	positive	It warms my heart when I see Muslims on here wishing Christians a blessed Sunday.   And when Christians do the same on Friday Muslim prayers	
6.30293E+17	positive	"@rniyusawa caz of,I'm going to go NARUTO exhibition in Osaka,sep.I'll buy gifts for you there.It's sold on new goods Osaka limited!"	
6.30295E+17	negative	if the landlord or landlady Muslims tomorrow they will steal your address and spy on your family back home and find out what they own &amp;work	
6.303E+17	neutral	Anybody want to see Ant-man tomorrow?	
6.30319E+17	neutral	"Ballroom dancing till 5 at school tomorrow, then Kpop on Saturday till 5, rehearsals at lunch times for mission day, &amp; grope dance at recess"	
6.30319E+17	neutral	frank ocean said he dropping an album at july. its july 40 and theres no new frank ocean. I aint acknowledging august till he drop the album	
6.30319E+17	neutral	Let's just hope Cyborg and Rousey fight in December is more than just a rumor. #UFC	
6.30324E+17	neutral	".@MileyCyrus hitting the nail on the head re: the 'Bad Blood' video, (amongst other things): http://t.co/i0yEVukaGK"	
6.30329E+17	neutral	So apparently today is Carly Fiorina Sunday on all the talking heads show. This is a job for Netflix!	
6.30347E+17	neutral	"@AshleeBaracy I heard @DevinScillian &amp; @berniesmilovitz may have been in the office doing ""research"" on Caitlyn Jenner"	
6.30353E+17	neutral	Tanahashi may be the Shawn Michaels of NJPW but this wrestler right here is the Randy Orton of New Japan. (Scheduled Tweet)	
6.30355E+17	positive	omg apparently the song from the mobile contingent march in is from naruto.....	
6.30358E+17	negative	"Miley Cyrus Trashes Taylor Swift: What a Bad Role Model!:  Taylor Swift may have written ""Bad Blood"" about Ka... http://t.co/QcesQxUNPK"	
6.30365E+17	positive	"Been an ant based week, first seeing ANT-man at the cinema. Now visiting ANTwerp. Maybe I'll finish with meeting ANT &amp; Dec? #Hopeful"	
6.30367E+17	positive	Looking for someone to go with to a Zac Brown Band concert on August 21st at Citi Field. Anyone interested?	
6.30368E+17	positive	Sunday menu @ http://t.co/SYltFtD4wJ includes Prime Rib &amp; Grilled Pork Chops. Breakfast all day. Carly Fiorina at 1 p.m. Come see us!	
6.30372E+17	positive	"@megynkelly @DWStweets If FOX keeps building the show guy up. You may be right. Start building up Dr. Ben Carson and Carly Fiorina,"	
6.30373E+17	negative	"14 July,1099 Jerusalem was conquered by the Crusaders.Tens of thousands of Muslims, Jews,&amp; Orthodox Christians were massacred ."	
6.30374E+17	negative	"fox news sunday, there appears to be NO front- runner. I disagree with this, the front - runner was john Kasich he will challenge jeb bush"	
6.30376E+17	negative	If you really think Rousey can be Mayweather I cannot take you serious at all.... This is a MAN fighting a WOMAN c'mon now	
6.30378E+17	neutral	Im really nervous as i have gotten to the 4th ninja war in Naruto (the manga) although i know what happens from watching the anime	
6.3038E+17	neutral	PHOTO: Cyborg calls out Rousey - 'How about April?' http://t.co/BrvONVQa4C	
6.30385E+17	neutral	Selling One Jason Aldean Ticket for the Darien Lake show on Thursday August 13th! $46. Contact me if you are interested!	
6.3039E+17	negative	Carly Fiorina should probably learn what 'organ harvesting' actually is if she's going to use the term on the Sunday morning talk shows.	
6.30391E+17	negative	"Cyber-squatter accuses Carly Fiorina of wishing she'd laid off 30,000 employees more quickly | PolitiFact http://t.co/KZyFSsVpvx"	
6.30391E+17	neutral	You may be Muslim if  You deliberately &amp; disingenuously label criticism of Islam as criticism of Muslims in an attempt to silence the critic	
6.30392E+17	neutral	#style #news Republican presidential hopeful Carly Fiorina said Sunday that she would oppose a governm... http://t.co/nMdO0meeRm  #NY #DC	
6.30392E+17	negative	"Oh how I love the irony of Muslims, it's a concept they just can't quite grasp! https://t.co/5rH1fSGybX"	
6.30397E+17	neutral	@KCsixtyseven Looks like one of those massive U2 heads you used to see on TFI Friday.	
6.30397E+17	neutral	Can't glance at a TV w/o seeing John Kasich on a Sunday show. Let's mobilize the Mich militia &amp; take back Toledo while they're preoccupied.	
6.30398E+17	neutral	"Boy, does @jeisrael have u covered for Sun shows: Carly Fiorina promises to cut federal jobs, just like she did at HP http://t.co/7H3obJ3AK7"	
6.30404E+17	neutral	I don't think Nunes wins in a match up versus Rousey but it's an intriguing match up for sure. https://t.co/S4QUGDojfh	
6.30405E+17	neutral	"Cool, Ant-Man isn't working. Beauty sleep for me then seeing as it's Monday."	
6.30406E+17	neutral	"Is Caitlyn Jenner more attracted to men or women? On this Sunday's episode of I Am Cait, the 65-year-old reality star is faced with that"	
6.30408E+17	neutral	Rt if you're going to Jason Aldean Thursday	
6.30409E+17	neutral	"Carly Fiorina: 'Game On': Carly Fiorina explained on Fox News Sunday this morning that the presidential ""race ... http://t.co/zsPopxLx8V"	
6.30414E+17	neutral	U2 - Sunday Bloody Sunday: http://t.co/ZitHx57VZD  This is not a rebel song and it's not against on sunday...it's all about anyday.	
6.30414E+17	positive	"Reminiscing the Day of Eid, in the beautiful city of Madinah... What a day it was! May Allah take us all to visit the Haramain. Ameen."	
6.30416E+17	positive	Seeing all these concert pics makes me even more excited to go see Jason Aldean Thursday with my favorite people	
6.30417E+17	neutral	@ESCMattez She now goes by the name Katie Price &amp; recently Celebrity Big Brother back in January.	
6.30419E+17	neutral	Dustin Johnson hasn't recovered since Saturday at the Open Championship. Absolute head case right now	
6.30421E+17	positive	"Tomorrow it will be a good day because I go watch Paper Towns for the preview, I can't wait omfg @Caradelevingne @johngreen @natandalex"	
6.30422E+17	neutral	"5SOS is not the ""new"" MCR or the ""new"" Nirvana. They may have been inspired by said bands, but they will never be them. They are simply 5SOS"	
6.30422E+17	negative	you know you're really sad when you're sat crying listening to fucking sam smith :(((((((((((	
6.30424E+17	positive	If Kenny brought me some Dunkin and a panera bagel he may be in running for the real MVP @KennyHall92	
6.30424E+17	neutral	"John Kasich Quiet on Trump, but Says Women 'Make Things Better': Ohio Gov. John Kasich on Sunday didn't want t... http://t.co/49DRJJrlEP"	
6.30424E+17	positive	Frank Ocean album coming out tomorrow.. I'm sure it is.	
6.30426E+17	positive	"The pool is cool, the sun is hot, the breeze is soft. I have attained Nirvana. #thespiritualstate #nottheband http://t.co/052JGiqWVK"	
6.30428E+17	positive	"Iron Maiden - Run to the Hills (Rock in Rio) https://t.co/ctfp9QithO via @YouTube Since I'm having a quiet, peaceful Sunday - why not this 1"	
6.30428E+17	neutral	My dad &amp; I get Dunkin every Sunday &amp; it feels so weird getting it w/o him today	
6.30429E+17	neutral	Sydney's Bad Blood costumes for the August 15th show in Santa Clara! @taylorswift13 @taylornation13 http://t.co/48X486jzGB	
6.30436E+17	neutral	"@kingdragneel Hmmm,, I still wait for the news of Fairy Tail vol 34,, and for Naruto vol 70, it will release on September 2.. :/"	
6.3044E+17	negative	"@tiaxmariex Must think you're frank ocean, delaying the release till tomorrow."	
6.30442E+17	positive	"Been listening to Sam smith in my sleep for the past 2 hours now I'm getting steak for my dinner, can Sunday's get any better?"	
6.30442E+17	neutral	"Just wondering, does anyone know if Sun Yang been hanging out with Floyd Mayweather?"	
6.30442E+17	neutral	Caitlyn Jenner &amp; Kris Jenner pose together in 1st joint selfie. See the picture --&gt; http://t.co/8S21ASupyo http://t.co/jrQohWu1xC	
6.30443E+17	neutral	@dacanes3 yeah. I just expect cyborg to accuse the UFC and Rousey of being afraid of her when the dec fight doesn't get booked.	
6.30444E+17	positive	Whoa! Carly Fiorina had interview with Chris Matthews after 1st debate and even he was impressed... http://t.co/PPfPxgPKqR	
6.30445E+17	neutral	"The 2 ""Best P4P Fighters"" Rousey currently and Jones All-Time #1-Rousey is 12-0 (100% Finishes 97% in the 1st... http://t.co/LNAPz7D8dP"	
6.30447E+17	neutral	"@hyuga_hinataxx Naruto walks over to the kitchen and sat down. ""Ramen time! Dattebayo! "" He said as he began to eat."	
